timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1589081396562,123,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-7,text,true,,281208,190,50,50,http://localhost:8080/api/train/from/深圳/to/广州/date/2020-05-09,122,0,0
1589081396563,168,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-5,text,true,,281208,190,50,50,http://localhost:8080/api/train/from/深圳/to/广州/date/2020-05-09,167,0,0
1589081396564,223,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-8,text,true,,281208,190,50,50,http://localhost:8080/api/train/from/深圳/to/广州/date/2020-05-09,223,0,0
1589081396565,280,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-4,text,true,,281208,190,50,50,http://localhost:8080/api/train/from/深圳/to/广州/date/2020-05-09,280,0,0
1589081396565,321,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-1,text,true,,281208,190,50,50,http://localhost:8080/api/train/from/深圳/to/广州/date/2020-05-09,321,0,0
1589081396566,357,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-3,text,true,,281208,190,50,50,http://localhost:8080/api/train/from/深圳/to/广州/date/2020-05-09,357,0,0
1589081396566,409,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-2,text,true,,281208,190,50,50,http://localhost:8080/api/train/from/深圳/to/广州/date/2020-05-09,409,0,0
1589081396566,450,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-6,text,true,,281208,190,50,50,http://localhost:8080/api/train/from/深圳/to/广州/date/2020-05-09,449,0,0
1589081396685,402,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-7,text,true,,281208,190,50,50,http://localhost:8080/api/train/from/深圳/to/广州/date/2020-05-09,402,0,0
1589081396731,417,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-5,text,true,,281208,190,50,50,http://localhost:8080/api/train/from/深圳/to/广州/date/2020-05-09,417,0,0
1589081396788,407,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-8,text,true,,281208,190,50,50,http://localhost:8080/api/train/from/深圳/to/广州/date/2020-05-09,407,0,0
1589081396845,412,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-4,text,true,,281208,190,50,50,http://localhost:8080/api/train/from/深圳/to/广州/date/2020-05-09,411,0,0
1589081396886,443,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-1,text,true,,281208,190,50,50,http://localhost:8080/api/train/from/深圳/to/广州/date/2020-05-09,442,0,0
1589081396923,488,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-3,text,true,,281208,190,50,50,http://localhost:8080/api/train/from/深圳/to/广州/date/2020-05-09,487,0,0
1589081396975,485,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-2,text,true,,281208,190,50,50,http://localhost:8080/api/train/from/深圳/to/广州/date/2020-05-09,485,0,0
1589081397016,500,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-6,text,true,,281208,190,50,50,http://localhost:8080/api/train/from/深圳/to/广州/date/2020-05-09,500,0,0
1589081397087,489,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-7,text,true,,281208,190,50,50,http://localhost:8080/api/train/from/深圳/to/广州/date/2020-05-09,488,0,0
1589081397149,501,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-5,text,true,,281208,190,50,50,http://localhost:8080/api/train/from/深圳/to/广州/date/2020-05-09,500,0,0
1589081397196,524,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-8,text,true,,281208,190,50,50,http://localhost:8080/api/train/from/深圳/to/广州/date/2020-05-09,524,0,0
1589081397257,531,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-4,text,true,,281208,190,50,50,http://localhost:8080/api/train/from/深圳/to/广州/date/2020-05-09,530,0,0
1589081397329,539,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-1,text,true,,281208,190,50,50,http://localhost:8080/api/train/from/深圳/to/广州/date/2020-05-09,539,0,0
1589081397411,529,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-3,text,true,,281208,190,50,50,http://localhost:8080/api/train/from/深圳/to/广州/date/2020-05-09,528,0,0
1589081397461,556,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-2,text,true,,281208,190,50,50,http://localhost:8080/api/train/from/深圳/to/广州/date/2020-05-09,555,0,0
1589081397516,592,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-6,text,true,,281208,190,50,50,http://localhost:8080/api/train/from/深圳/to/广州/date/2020-05-09,591,0,0
1589081397576,610,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-7,text,true,,281208,190,50,50,http://localhost:8080/api/train/from/深圳/to/广州/date/2020-05-09,610,0,0
1589081397650,616,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-5,text,true,,281208,190,50,50,http://localhost:8080/api/train/from/深圳/to/广州/date/2020-05-09,616,0,0
1589081397721,615,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-8,text,true,,281208,190,50,50,http://localhost:8080/api/train/from/深圳/to/广州/date/2020-05-09,614,0,0
1589081397788,610,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-4,text,true,,281208,190,50,50,http://localhost:8080/api/train/from/深圳/to/广州/date/2020-05-09,609,0,0
1589081397868,587,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-1,text,true,,281208,190,50,50,http://localhost:8080/api/train/from/深圳/to/广州/date/2020-05-09,586,0,0
1589081397940,565,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-3,text,true,,281208,190,50,50,http://localhost:8080/api/train/from/深圳/to/广州/date/2020-05-09,565,0,0
1589081397940,643,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-9,text,true,,281208,190,50,50,http://localhost:8080/api/train/from/深圳/to/广州/date/2020-05-09,643,0,0
