timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1589081744606,84,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-1,text,true,,50059,190,5,5,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,84,0,0
1589081744701,75,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-1,text,true,,50059,190,30,30,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,75,0,0
1589081744708,114,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-2,text,true,,50059,190,30,30,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,114,0,0
1589081744708,168,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-3,text,true,,50059,190,30,30,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,168,0,0
1589081744708,213,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-4,text,true,,50059,190,30,30,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,213,0,0
1589081744708,265,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-5,text,true,,50059,190,30,30,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,265,0,0
1589081744776,262,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-1,text,true,,50059,190,30,30,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,262,0,0
1589081744824,272,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-2,text,true,,50059,190,30,30,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,272,0,0
1589081744876,286,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-3,text,true,,50059,190,30,30,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,285,0,0
1589081744921,294,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-4,text,true,,50059,190,30,30,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,294,0,0
1589081744973,301,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-5,text,true,,50059,190,30,30,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,301,0,0
1589081745038,298,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-1,text,true,,50059,190,30,30,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,298,0,0
1589081745096,302,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-2,text,true,,50059,190,30,30,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,302,0,0
1589081745162,297,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-3,text,true,,50059,190,30,30,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,297,0,0
1589081745215,307,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-4,text,true,,50059,190,30,30,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,307,0,0
1589081745274,320,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-5,text,true,,50059,190,30,30,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,320,0,0
1589081745336,323,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-1,text,true,,50059,190,30,30,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,323,0,0
1589081745398,329,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-2,text,true,,50059,190,29,29,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,329,0,0
1589081745459,328,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-3,text,true,,50059,190,29,29,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,328,0,0
1589081745522,330,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-4,text,true,,50059,190,29,29,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,330,0,0
1589081745522,392,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-29,text,true,,50059,190,29,29,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,392,0,0
1589081745523,460,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-28,text,true,,50059,190,29,29,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,460,0,0
1589081745523,519,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-27,text,true,,50059,190,29,29,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,519,0,0
1589081745523,584,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-30,text,true,,50059,190,29,29,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,584,0,0
1589081745523,663,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-25,text,true,,50059,190,29,29,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,663,0,0
1589081745523,724,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-26,text,true,,50059,190,29,29,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,724,0,0
1589081745523,785,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-22,text,true,,50059,190,29,29,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,785,0,0
1589081745523,846,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-24,text,true,,50059,190,29,29,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,846,0,0
1589081745524,904,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-21,text,true,,50059,190,29,29,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,904,0,0
1589081745524,962,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-23,text,true,,50059,190,29,29,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,962,0,0
1589081745524,1019,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-20,text,true,,50059,190,29,29,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,1019,0,0
1589081745524,1079,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-16,text,true,,50059,190,29,29,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,1079,0,0
1589081745524,1135,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-17,text,true,,50059,190,29,29,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,1135,0,0
1589081745524,1197,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-15,text,true,,50059,190,29,29,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,1197,0,0
1589081745524,1254,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-14,text,true,,50059,190,29,29,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,1254,0,0
